Code,Type,Condition,Recovery
-269,hard error,The over temperature trip signals: 'reference current PT reference' Faulty Pt1000 or Over-Temp board,
-270,hard error,T2M1 has reported an error,Check T2M1 wiring
-271,hard error,T2M1 signals: 'short circuit in sensor PT1' T2M1. - Check wiring, Change PT1 sensor
-272,hard error,T2M1 signals: 'sensor PT1 open circuit',T2M1
-273,hard error,T2M1 signals: 'reference current sensor PT1',T2M1. - Check wiring.  Faulty sensor PT1 or temperature module
-274,hard error,T2M1 signals: 'short circuit in sensor PT2',T2M1. - Check wiring.  Faulty sensor PT2 or temperature module. Change sensor
-275,hard error,T2M1 signals: 'sensor PT2 open circuit',T2M1. - Check wiring.  Faulty sensor PT2 or temperature module. Change sensor
-276,hard error,T2M1 signals: 'reference current sensor PT2',T2M1. - Check wiring.  Faulty sensor PT2 or temperature module
-277,hard error,T2M1 signals: 'short circuit in sensor PT3',T2M1. - Check wiring.  Faulty sensor PT3 or temperature module. Change sensor
-278,hard error,T2M1 signals: 'sensor PT3 open circuit',T2M1. - Check wiring.  Faulty sensor PT3 or temperature module. Change sensor
-279,hard error,T2M1 signals: 'reference current sensor PT3',T2M1. - Check wiring.  Faulty sensor PT3 or temperature module
-280,hard error,T2M1 signals: 'short circuit in sensor PT reference' Faulty Pt1000 or Over-Temp board,
-281,hard error,T2M1 signals: 'open circuit sensor PT reference' Faulty Pt1000 or Over-Temp board,
-282,hard error,T2M1 signals: 'reference current PT reference',Faulty Pt1000 or Over-Temp board
-283,hard error,T2M1 signals: 'CAN-communication disrupted,Check T2M1 wiring. Faulty module
-284,hard error,T2M2 has reported an error,Check T2M2 wiring
-285,hard error,T2M2 signals: 'short circuit in sensor PT1' T2M2. - Check wiring, Change PT1 sensor
-286,hard error,T2M2 signals: 'sensor PT1 open circuit',T2M2. - Check wiring.  Change PT1 sensor
-287,hard error,T2M2 signals: 'reference current sensor PT1',T2M2. - Check wiring.  Change PT3 sensor
-288,hard error,T2M2 signals: 'short circuit in sensor PT2',T2M2. - Check wiring.  Change PT2 sensor
-289,hard error,T2M2 signals: 'sensor PT2 open circuit',T2M2. - Check wiring.  Change PT2 sensor
-290,hard error,T2M2 signals: 'reference current sensor PT2',T2M2. - Check wiring.  Faulty sensor PT2 or temperature module
-291,hard error,T2M2 signals: 'short circuit in sensor PT3',T2M2. - Check wiring.  Change PT3 sensor
-292,hard error,T2M2 signals: 'sensor PT3 open circuit',T2M2. - Check wiring.  Change PT3 sensor
-293,hard error,T2M2 signals: 'reference current sensor PT3',T2M2. - Check wiring.  Faulty sensor PT3 or temperature module
-294,hard error,T2M2 signals: 'short circuit in sensor PT reference' Faulty Pt1000 or Over-Temp board,
-295,hard error,T2M2 signals: 'open circuit sensor PT reference' Faulty Pt1000 or Over-Temp board,
-296,hard error,T2M2 signals: 'reference current PT reference',Faulty Pt1000 or Over-Temp board
-297,hard error,T2M2 signals: 'CAN-communication disrupted,Check T2M2. Faulty module
-298,hard error,The safety circuit module 1 has reported an error,
-299,hard error,The safety circuit module 1 signals: 'over temperature sensor PT1',
-300,hard error,The safety circuit module 1 signals: 'short circuit in sensor PT1' Safety circuit module 1 Change sensor PT1,
-301,hard error,The safety circuit module 1 signals: 'sensor PT1 open circuit' Safety circuit Module 1 Change sensor PT1,
-302,hard error,The safety circuit module 1 signals: : 'reference current sensor PT1' Safety circuit module 1 or sensor PT1 faulty,
-303,hard error,The safety circuit module 1 signals: 'over temperature sensor PT2',Safety circuit Module 1 Check reason for over temperature in PT2.T. settings
-304,hard error,The safety circuit module 1 signals: 'short circuit in sensor PT2' Safety circuit module 1 Change sensor PT2,
-305,hard error,The safety circuit module 1 signals: 'sensor PT2 open circuit' Safety circuit module 1 Change sensor PT2,
-306,hard error,The safety circuit module 1 signals: : 'reference current sensor PT2',Safety circuit module 1 or sensor PT2 faulty
-307,hard error,The safety circuit module 1 signals: 'over temperature sensor PT3',Safety circuit Module 1 Check reason for over temperature in PT3.T. settings
-308,hard error,The safety circuit module 1 signals: 'short circuit in sensor PT3' Safety circuit module 1 Change sensor PT3,
-309,hard error,The safety circuit module 1 signals: 'sensor PT3 open circuit' Safety circuit module 1 Change sensor PT3,
-310,hard error,The safety circuit module 1 signals: : 'reference current sensor PT3' Safety circuit module 1 or sensor PT3 faulty,
-311,hard error,The safety circuit module 1 signals: 'over temperature PT reference' Safety circuit module 1 or sensor PTreference faulty,
-312,hard error,The safety circuit module 1 signals: 'short circuit in sensor PT reference' Safety circuit module 1 or sensor PTreference faulty,
-313,hard error,The safety circuit module 1 signals: 'open circuit sensor PT reference' Safety circuit module 1 or sensor PTreference faulty,
-314,hard error,The safety circuit module 1 signals: 'reference current PT reference.' Safety circuit module 1 or sensor PTreference faulty,
-315,hard error,The safety circuit module 1 signals: 'set point PT1 is fluctuating.' Safety circuit module 1 check wiring,
-316,hard error,The safety circuit module 1 signals: 'set point PT2 is fluctuating.' Safety circuit module 1 check wiring,
-317,hard error,The safety circuit module 1 signals: 'set point PT3 is fluctuating.' Safety circuit module 1 check wiring,
-318,hard error,The safety circuit module 1 signals: 'CAN-communication disrupted.' Safety circuit module 1 check wiring,
-319,hard error,The safety circuit module 1 signals: 'Error in NTR (power isolation relay) stage 1,
-320,hard error,The safety circuit module 1 signals: 'error in NTR (power isolation relay) stage 2,
-321,hard error,The safety circuit module 1 signals: 'error in NTR (power isolation relay)-feedback,
-322,hard error,The compressor outlet gas temperature of the HT-compressor 1 is too high,Check HT compressor 1 cooling. Check for bubbles in refrigerant sight glass
-323,hard error,The compressor outlet gas temperature of the HT- compressor 2 is too high,Check HT compressor 2 cooling. Check for bubbles in refrigerant sight glass
-324,hard error,VPC system registration not okay,Connectors OK. VPC notifies Hardware could not be recognised
-325,hard error,VPC Parameters not okay,
-326,hard error,The VPC signals: 'No CAN-communication' Check VPC cable and plugs,
-327,hard error,VPC firmware not okay,VPC reports an error. Check VPC cable and plugs
-328,hard error,The fluid outlet temperature is set by RS (mode CITM). No current value has been set for the fluid outlet temperature for 30s,Check the control software.  that it is regularly updating the fluid outlet temperature. Check RS232/485 connections
-329,hard error,The process temperature is set by RS (mode CETM). No current value has been set for the process temperature for 30s,Check the control software.  that it is regularly updating the fluid outlet temperature. Check RS232/485 connections
-330,hard error,The stepper motor module 2 was not recognized during initialisation. Stepper motor module 2 not found Check wiring,
-331,hard error,The stepper motor module 2 is not responding anymore,Stepper motor module 2 not answering any more
-332,hard error,The SMO2 signals: 'Hardware could not be recognized.' Stepper motor module 2,
-333,hard error,The SMO2 signals: 'wrong SimFile in module.' Stepper motor module 2,
-334,hard error,The SMO2 signals: 'No CAN-communication' Stepper motor module 2,
-335,hard error,The SMO2 has reported an error. Stepper motor module 2,
-336,hard error,The DSM1 was not recognized during initialisation,
